node,gene,log2FC,pVal,FDR
3,Stat1,3.690625148985467,0.0,2.3870906139597062e-6
3,Gls,0.9021464390730832,0.0,2.3870906139597062e-6
3,Pms1,2.020918420827133,0.0,2.3870906139597062e-6
3,Stk17b,3.7715204440515593,0.0,2.3870906139597062e-6
3,Pgap1,-3.472080508250359,0.0,2.3870906139597062e-6
3,Ankrd44,1.222412386183798,0.0,2.3870906139597062e-6
3,Satb2,-8.051895758143171,0.0,2.3870906139597062e-6
3,Sgo2a,1.9725803396763852,0.0,2.3870906139597062e-6
3,Clk1,1.5469269877444414,0.0,2.3870906139597062e-6
3,Cflar,1.9633800749658283,0.0,2.3870906139597062e-6
3,Casp8,3.1924632497522394,0.0,2.3870906139597062e-6
3,Mpp4,4.190173369447191,0.0,2.3870906139597062e-6
3,Gm29017,7.887767623169864,0.0,2.3870906139597062e-6
3,Wdr12,1.0555039779194686,0.0,2.3870906139597062e-6
3,Abi2,-1.6906247164557944,0.0,2.3870906139597062e-6
3,Raph1,-1.049624736220149,0.0,2.3870906139597062e-6
3,Cd28,6.459701745918933,0.0,2.3870906139597062e-6
3,Ctla4,8.198289780384716,0.0,2.3870906139597062e-6
3,Idh1,-3.1106733201858496,0.0,2.3870906139597062e-6
3,Map2,-6.463319104286094,0.0,2.3870906139597062e-6
3,Acadl,0.36299869973197896,0.0,2.3870906139597062e-6
3,Lancl1,-0.7326270397120015,0.0,2.3870906139597062e-6
3,Erbb4,-6.843000220601789,0.0,2.3870906139597062e-6
3,Ikzf2,3.420102218697762,0.0,2.3870906139597062e-6
3,Bard1,2.182572105427042,0.0,2.3870906139597062e-6
3,March4,-7.177608363621939,0.0,2.3870906139597062e-6
3,Igfbp2,-3.3116101492993946,0.0,2.3870906139597062e-6
3,Tuba4a,2.483013779751862,0.0,2.3870906139597062e-6
3,Dnpep,-0.9307951595262248,0.0,2.3870906139597062e-6
3,Chpf,-2.3626530620616393,0.0,2.3870906139597062e-6
3,Tmem198,-6.71733083757788,0.0,2.3870906139597062e-6
3,Inha,-4.544150564601545,0.0,2.3870906139597062e-6
3,Slc4a3,-5.0709184397581,0.0,2.3870906139597062e-6
3,Epha4,-4.706851757329939,0.0,2.3870906139597062e-6
3,Utp14b,2.693166123436852,0.0,2.3870906139597062e-6
3,Wdfy1,-1.3392965510469996,0.0,2.3870906139597062e-6
3,Dock10,3.870607187574328,0.0,2.3870906139597062e-6
3,Nyap2,-5.334869115453096,0.0,2.3870906139597062e-6
3,Irs1,-3.8626702007419236,0.0,2.3870906139597062e-6
3,Mff,-1.339447500487534,0.0,2.3870906139597062e-6
3,Pid1,-1.7956794493123907,0.0,2.3870906139597062e-6
3,Dner,-7.353810679106562,0.0,2.3870906139597062e-6
3,Sp110,5.610275412852855,0.0,2.3870906139597062e-6
3,Sp140,5.00200594716172,0.0,2.3870906139597062e-6
3,Sp100,4.841006384929078,0.0,2.3870906139597062e-6
3,A630001G21Rik,5.262676173107809,0.0,2.3870906139597062e-6
3,Ncl,1.3124268822084206,0.0,2.3870906139597062e-6
3,Inpp5d,4.830434698349961,0.0,2.3870906139597062e-6
3,Dgkd,1.0810065297320781,0.0,2.3870906139597062e-6
3,Hjurp,0.9978454084678431,0.0,2.3870906139597062e-6
3,Agap1,-2.865717910669958,0.0,2.3870906139597062e-6
3,Lrrfip1,0.9295094344004433,0.0,2.3870906139597062e-6
3,Ramp1,3.6023760693800604,0.0,2.3870906139597062e-6
3,Cops9,-0.7906711042931986,0.0,2.3870906139597062e-6
3,Gpc1,-1.5841946983675022,0.0,2.3870906139597062e-6
3,Capn10,-1.7548336776517828,0.0,2.3870906139597062e-6
3,Kif1a,-7.626620236006954,0.0,2.3870906139597062e-6
3,Hdlbp,0.7632724078009678,0.0,2.3870906139597062e-6
3,Stk25,-1.047869099001464,0.0,2.3870906139597062e-6
4,Mrpl15,-1.2590913418646892,0.0,2.3870906139597062e-6
4,Atp6v1h,-1.2131427946091828,0.0,2.3870906139597062e-6
4,Snhg6,-1.0606111495582482,0.0,2.3870906139597062e-6
4,Cops5,-0.8867691754909652,0.0,2.3870906139597062e-6
4,Msc,4.485566833482241,0.0,2.3870906139597062e-6
4,Rpl7,-1.112042606313817,0.0,2.3870906139597062e-6
4,Stau2,-2.7697417729041782,0.0,2.3870906139597062e-6
4,Eloc,-1.2600029945979212,0.0,2.3870906139597062e-6
4,Tmem70,-1.4633282417772073,0.0,2.3870906139597062e-6
4,Gdap1,-Infinity,0.0,2.3870906139597062e-6
4,Adgrb3,-5.930412873941318,0.0,2.3870906139597062e-6
4,Ptp4a1,-0.9364492718302275,0.0,2.3870906139597062e-6
4,Khdrbs2,-5.354498522296852,0.0,2.3870906139597062e-6
4,Fam168b,-1.3612600429411534,0.0,2.3870906139597062e-6
4,Cox5b,-1.2575462098277514,0.0,2.3870906139597062e-6
4,Mrpl30,-1.4803932932889774,0.0,2.3870906139597062e-6
4,Txndc9,-0.8716388170122797,0.0,2.3870906139597062e-6
4,Aff3,-2.1230036708440934,0.0,2.3870906139597062e-6
4,Pdcl3,-1.4387097495452477,0.0,2.3870906139597062e-6
4,Rpl31,-0.6813434513385735,0.0,2.3870906139597062e-6
4,Map4k4,-0.7881257203927073,0.0,2.3870906139597062e-6
4,Pantr1,-6.292731162536019,0.0,2.3870906139597062e-6
4,Pou3f3,-8.05204295353441,0.0,2.3870906139597062e-6
4,Pgap1,-3.0673019837543256,0.0,2.3870906139597062e-6
4,Hspd1,-1.077700454788477,0.0,2.3870906139597062e-6
4,Hspe1,-0.6552648241900906,0.0,2.3870906139597062e-6
4,Mob4,-0.9663491745905587,0.0,2.3870906139597062e-6
4,Satb2,-7.129446684811069,0.0,2.3870906139597062e-6
4,Bzw1,-1.2430404321693573,0.0,2.3870906139597062e-6
