cluster,modularity,size
190,4.6448756992623075e-4/2.2560337035997052e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,15/25/43/103/201/418/897/1199/2125/2312
191,4.6448756992623075e-4/2.2560337035997052e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,10/25/43/103/201/418/897/1199/2125/2312
194,6.289638578433759e-3/2.4097319697310354e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,34/53/98/201/418/897/1199/2125/2312
195,6.289638578433759e-3/2.4097319697310354e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,19/53/98/201/418/897/1199/2125/2312
196,2.4097319697310354e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,45/98/201/418/897/1199/2125/2312
201,2.8510510968646693e-3/9.013954272457103e-4/7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,10/14/45/101/302/1199/2125/2312
202,2.8510510968646693e-3/9.013954272457103e-4/7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,4/14/45/101/302/1199/2125/2312
203,9.013954272457103e-4/7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,31/45/101/302/1199/2125/2312
205,4.266836952806283e-2/7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,39/56/101/302/1199/2125/2312
207,1.5506004638911289e-2/4.266836952806283e-2/7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,7/17/56/101/302/1199/2125/2312
208,1.5506004638911289e-2/4.266836952806283e-2/7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,10/17/56/101/302/1199/2125/2312
212,3.274525770135678e-3/2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,52/80/141/201/302/1199/2125/2312
213,3.274525770135678e-3/2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,28/80/141/201/302/1199/2125/2312
215,1.2949965560364513e-2/2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,29/61/141/201/302/1199/2125/2312
217,2.5703224176267248e-3/1.2949965560364513e-2/2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,18/32/61/141/201/302/1199/2125/2312
218,2.5703224176267248e-3/1.2949965560364513e-2/2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,14/32/61/141/201/302/1199/2125/2312
221,2.8831515025310173e-2/1.4370111006527797e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,22/40/60/201/302/1199/2125/2312
222,2.8831515025310173e-2/1.4370111006527797e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,18/40/60/201/302/1199/2125/2312
223,1.4370111006527797e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,20/60/201/302/1199/2125/2312
225,7.210511324391973e-4/5.972810594217861e-2,12/187/2312
227,1.3092251534784355e-2/7.210511324391973e-4/5.972810594217861e-2,84/175/187/2312
229,1.0063264159149182e-2/1.3092251534784355e-2/7.210511324391973e-4/5.972810594217861e-2,41/91/175/187/2312
230,1.0063264159149182e-2/1.3092251534784355e-2/7.210511324391973e-4/5.972810594217861e-2,50/91/175/187/2312
